student_id,assignment_type,tasks_detected,analysis_completeness,evaluation_completeness,quality,evidence_strength,confidence
80928,partial_submission,1,partial,partial,low,high,high
80929,partial_submission,1,partial,partial,medium,high,high
80930,partial_submission,1,incomplete,partial,medium,medium,high
80931,partial_submission,1,partial,partial,low,high,high
80932,partial_submission,1,partial,partial,low,high,high
80933,full_submission,5,complete,complete,medium,high,high
80934,partial_submission,2,partial,partial,medium,medium,high
80935,partial_submission,1,partial,partial,low,high,high
80936,full_submission,4,incomplete,incomplete,low,high,high
80937,partial_submission,1,incomplete,incomplete,low,medium,medium
80938,partial_submission,2,partial,partial,low,high,high
80940,partial_submission,1,incomplete,partial,low,high,high
80941,partial_submission,2,partial,partial,medium,high,high
80942,full_submission,5,complete,complete,medium,medium,high
80943,full_submission,4,partial,partial,medium,high,high
80944,full_submission,4,complete,partial,low,high,high
80945,full_submission,5,complete,complete,medium,medium,high
80946,full_submission,4,partial,partial,medium,medium,high
80947,partial_submission,1,partial,partial,low,high,high
80949,partial_submission,1,partial,partial,medium,high,high
80950,partial_submission,1,partial,partial,low,high,high
80951,full_submission,5,complete,complete,medium,medium,high
80952,partial_submission,1,partial,partial,low,high,high
80953,partial_submission,3,partial,partial,low,high,high
80954,partial_submission,1,partial,partial,medium,medium,high
80956,partial_submission,1,partial,partial,low,high,high
80957,partial_submission,1,partial,partial,low,high,high
80958,partial_submission,1,partial,partial,low,high,high
80959,partial_submission,3,partial,partial,medium,medium,high
80960,partial_submission,5,partial,partial,low,high,high
80961,partial_submission,1,complete,partial,medium,medium,high
80962,partial_submission,1,partial,partial,medium,medium,high
80963,partial_submission,1,partial,partial,low,high,high
80964,partial_submission,1,partial,partial,medium,high,high
80965,partial_submission,2,partial,partial,low,high,high
80966,partial_submission,1,partial,partial,low,high,high
80967,partial_submission,1,partial,partial,low,high,high
80968,partial_submission,2,partial,partial,medium,high,high
80969,partial_submission,2,partial,partial,medium,high,high
80970,full_submission,5,partial,incomplete,low,high,high
80971,partial_submission,2,partial,partial,low,high,high
80972,partial_submission,2,partial,partial,medium,high,high
80974,full_submission,5,complete,complete,medium,medium,high
80976,partial_submission,1,partial,partial,medium,medium,medium
80977,partial_submission,1,partial,partial,low,high,high
80978,partial_submission,1,incomplete,incomplete,low,high,high
80979,partial_submission,1,partial,partial,medium,high,high
80980,partial_submission,1,incomplete,partial,medium,high,high
80981,partial_submission,1,partial,partial,low,high,high
80982,bibliography_only,0,incomplete,incomplete,low,high,high
80983,partial_submission,1,partial,partial,low,high,high
80984,full_submission,5,complete,partial,low,high,high
80985,partial_submission,1,partial,partial,low,high,high
80986,partial_submission,2,partial,partial,low,high,high
80987,partial_submission,1,partial,partial,medium,medium,high
80988,partial_submission,2,partial,partial,medium,medium,high
